imageNumber,releaseNumber,title,saveType,romSize,publisher,location,sourceRom,language,im1CRC,im2CRC,comment,duplicateID
20,20,Yu-Gi-Oh! Dungeon Dice Monsters,Flash_v120,8388608,Konami,7,Rapid Fire,256,18BE34F7,1D0BCD44,[Table],16
21,21,Boku ha Koukuu Kanseikan,Sram_v110,8388608,TAM,7,Rapid Fire,256,E6428825,202B3F67,[Table],0
22,22,J.League Pocket,Sram_v110,8388608,Konami,7,Rapid Fire,256,8EFB2E71,63273BF4,[Table],0
23,23,Momotarou Matsuri,Sram_v110,4194304,Hudson,7,Rapid Fire,256,5578B6A3,86B9A268,[Table],0
24,24,Monster Guardians,Sram_v110,8388608,Konami,7,Rapid Fire,256,BA8D9079,A96FC0EC,[Table],0
25,25,Super Mario Advance,Eeprom_v120,4194304,Nintendo,16,Eurasia,2,E17974D9,BB11C51A,[Table],2
26,26,Final Fight One,Eeprom_v120,4194304,Capcom,7,Eurasia,256,174ECAF4,B59AFAE2,[Table],17
27,27,Bomberman Story,Sram_v110,4194304,Hudson,7,Eurasia,256,19941217,5F0CA80E,[Table],18
28,28,Iridion 3D,None,4194304,Majesco Sales,16,Eurasia,2,99AE0E1E,885B8A79,[Table],0
29,29,Pinobee - Wings of Adventure,Sram_v111,8388608,Activision,16,Eurasia,2,E7A29CCA,137E478B,[Table],11
30,30,Ready 2 Rumble Boxing - Round 2,None,4194304,Midway,1,Eurasia,2,6AEBCB92,708B3F99,[Table],19
31,31,Konami Krazy Racers,Sram_v111,4194304,Konami,1,Menace,2,2CC9192E,F80F2832,[Table],9
32,32,Castlevania - Circle of the Moon,Sram_v110,8388608,Konami,0,Eurasia,2,A6860BA0,46ABE2ED,[Table],7
33,33,Tony Hawk's Pro Skater 2,Eeprom_v111,8388608,Activision,16,Total Crap,2,12D1EC11,21CA84D7,[Table],20
34,34,GT Advance - Championship Racing,None,8388608,THQ,16,The Corporation,2,265D9D48,89178CF1,[Table],8
35,35,Namco Museum,None,4194304,Namco,1,The Corporation,2,01146D44,DB3B92A1,[Table],21
36,36,Chu Chu Rocket!,Flash_v121,4194304,Sega,1,The Corporation,4419,A25C49DD,C46E1277,[Table],6
37,37,Earthworm Jim,None,8388608,Majesco Sales,16,Mode 7,2,02B0B5B4,A0ECFC41,[Table],0
38,38,Pitfall - The Mayan Adventure,None,4194304,Majesco Sales,16,Mode 7,2,F7F7B6D3,CADFC3C7,[Table],0
39,39,Army Men Advance,None,4194304,3DO,16,Eurasia,4291,E79EA6B7,E7A1A4FB,[Table],0
40,40,Super Dodge Ball Advance,Sram_v110,4194304,Atlus,1,Mode 7,2,311E8B21,B3E59FCC,[Table],10
41,41,F-Zero - Maximum Velocity,Sram_v111,4194304,Nintendo,16,Mode 7,2,1772EAF7,18522C08,[Table],1
42,42,Fire Pro Wrestling,Flash_v123,8388608,BAM!,16,Mode 7,2,39929378,03CEE5AD,[Table],13
43,43,Konami Krazy Racers,Sram_v111,4194304,Konami,0,Cezar,2,35ABAC2E,8B7DC00C,[Table],9
44,44,Ready 2 Rumble Boxing - Round 2,None,4194304,Midway,0,Lightforce,67,8AFDBAB3,A53280D5,[Table],19
45,45,Castlevania - Circle of the Moon,Sram_v110,8388608,Konami,1,Cezar,2,F621BCE5,63CF4B85,[Table],7
46,46,Rayman Advance,Eeprom_v111,8388608,Ubi Soft,1,Cezar,4291,5CDCF9C4,62C8A3E0,[Table],22
47,47,Tactics Ogre Gaiden - The Knight of Lodis,Flash_v124,8388608,Nintendo,7,Eurasia,256,69C6F8CB,9ECC7710,[Table],23
48,48,Kurukuru Kururin,Sram_v111,4194304,Nintendo,0,Mode 7,2,671F231C,F8466BBB,[Table],4
49,49,Top Gear GT Championship,Eeprom_v120,4194304,Kemco,0,Mode 7,2,BAC02C12,B03BE451,[Table],12
50,50,Super Mario Advance,Eeprom_v120,4194304,Nintendo,16,Cezar,2,E0DAC5C3,D0669A2A,[Table],2
51,51,Rayman Advance,Eeprom_v111,8388608,Ubi Soft,0,Cezar,4291,47CCE42B,42B608C0,[Table],22
52,52,Tweety and the Magic Gems,Sram_v112,4194304,Kemco,0,Eurasia,2,C8127A6D,F03B3A11,[Table],14
53,53,Tony Hawk's Pro Skater 2,Eeprom_v111,8388608,Activision,2,Lightforce,64,12D1EC11,0422B73D,[Table],20
54,54,Narikiri Jockey Game - Yuushun Rhapsody,Sram_v112,8388608,Capcom,7,Eurasia,256,63040414,CCC49F23,[Table],0
55,55,Choro Q Advance,Sram_v112,4194304,Takara,7,Eurasia,256,C1DF9A3B,C0BB9455,[Table],24
56,56,Toyrobo Force,Sram_v112,4194304,Global A,7,Eurasia,256,92BC5D82,7680FD34,[Table],0
57,57,Hot Potato!,Eeprom_v120,4194304,BAM!,1,Mode 7,2,D5EECBFA,4A9BDFFF,[Table],25
58,58,Bomberman Tournament,Sram_v112,4194304,Activision,16,Mode 7,2,67707F30,A1BF25BE,[Table],18
59,59,Tony Hawk's Pro Skater 2,Eeprom_v111,8388608,Activision,5,Cezar,1,12D1EC11,2D7DDD26,[Table],20
60,60,Breath of Fire - Ryuu no Senshi,Eeprom_v121,4194304,Capcom,7,Eurasia,256,B3A99B1D,8454382D,[Table],26
61,61,Yu-Gi-Oh! Duel Monsters 5 Expert 1,Sram_v112,8388608,Konami,7,Eurasia,256,16480FF9,F8194217,[Table],0
62,62,Super Street Fighter II X - Revival,Eeprom_v121,8388608,Capcom,7,Eurasia,256,725DA1CF,3A70344A,[Table],27
63,63,Mahjong Keiji,Sram_v112,4194304,Hudson,7,Eurasia,256,D1068B6D,F3C43E65,[Table],0
64,64,Pac-Man Collection,None,4194304,Namco,1,Mode 7,2,18D74515,9E4DB929,[Table],28
65,65,Titi et les Bijoux Magiques,Sram_v112,4194304,Kemco,5,Absence,1,78DC0754,6FFC2D8D,[Table],14
66,66,EX Monopoly,Sram_v112,4194304,Takara,7,Eurasia,256,89C3083E,AAC8C13B,[Table],0
67,67,Minna no Shiiku Series 1 - Boku no Kabuto Mushi,Sram_v112,4194304,MTO,7,Eurasia,256,4A1AA617,5CEEACEE,[Table],0
68,68,GetBackers Dakkanya - Jigoku no Scaramouche,Flash_v120,4194304,Konami,7,Eurasia,256,6A885FAE,7BBFAC4D,[Table],0
69,69,Space Hexcite - Maetel Legend EX,Sram_v111,4194304,Jordan,7,Perversion,256,9CD4DE4B,0702F19E,[Table],0
70,70,Kaze no Klonoa - Yumemiru Teikoku,Eeprom_v121,4194304,Namco,7,Eurasia,256,ECA0EE23,AC92A7EF,[Table],29
71,71,Mario Kart Advance,Flash_v124,4194304,Nintendo,7,Eurasia,256,3AEC0338,89385C43,[Table],30
72,72,Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu!,Sram_v110,8388608,Epoch,7,Perversion,256,21E8B257,F5D9572F,[Table],0
73,73,Jurassic Park III - The DNA Factor,Eeprom_v121,8388608,Konami,1,Mode 7,2,F5E63DC6,132BFDC5,[Table],31
74,74,Kinniku Banzuke - Kongou-kun no Daibouken!,Sram_v112,8388608,Konami,7,Eurasia,256,F47640BD,CEE1E01C,[Table],0
75,75,JGTO Kounin Golf Master Mobile - Japan Golf Tour Game,Flash_v124,8388608,Konami,7,Eurasia,256,99E55150,82312BBE,[Table],15
76,76,Zero-Tours,Flash_v124,4194304,Media Rings,7,Eurasia,256,2FCF2702,6D78C8AA,[Table],0
77,77,Sutakomi - Star Communicator,Sram_v110,8388608,Konami,7,Eurasia,256,2E033070,15584B7B,[Table],0
78,78,Mobile Pro Yakyuu - Kantoku no Saihai,Flash_v124,8388608,Konami,7,Eurasia,256,4BEA8F28,E1278D3E,[Table],0
79,79,Ougon no Taiyou - Hirakareshi Fuuin,Flash_v123,8388608,Nintendo,7,Eurasia,256,AC5B1501,E7E7F3E4,[Table],32
80,80,Dokapon Q - Monster Hunter!,Sram_F_v102,8388608,Asmik,7,Eurasia,256,972CA2E6,CB3ECF69,[Table],33
81,81,Minna no Shiiku Series 2 - Boku no Kuwagata,Sram_v112,4194304,MTO,7,Eurasia,256,2BF55396,FDB88C0B,[Table],0
82,82,Jurassic Park III - Kyouryuu ni Ainiikou!,Sram_v112,4194304,Konami,7,Eurasia,256,BD23B764,EA36BB22,[Table],34
83,83,Final Fight One,Eeprom_v121,4194304,Capcom,0,Paracox,2,A9C43BEF,6ABAB86E,[Table],17
84,84,Super Black Bass Advance,Sram_F_v102,4194304,Starfish,7,Eurasia,256,852DBCCB,FCEC3641,[Table],35
85,85,Tanbi Musou - Meine Liebe,Sram_F_v100,8388608,Konami,7,Perversion,256,971785F4,2EF4EC44,[Table],0
86,86,Mario Kart - Super Circuit,Flash_v124,4194304,Nintendo,1,iNFeRNO,2,5E453F3E,6AE46BBD,[Table],30
87,87,Kiwame Mahjong Deluxe - Mirai Senshi 21,Sram_v112,8388608,Athena,7,Eurasia,256,EA8BBD5A,64319916,[Table],0
88,88,Fortress,None,4194304,Majesco Sales,16,Eurasia,2,8F2A15F8,1CB6D28B,[Table],36
89,89,Jurassic Park III - The DNA Factor,Eeprom_v121,8388608,Konami,0,Absence,4291,37025F3A,9E5B0575,[Table],31
90,90,Wario Land Advance,Sram_v112,8388608,Nintendo,7,Eurasia,256,1BA9961B,DEFFB979,[Table],37
91,91,Tweety and the Magic Gems,Sram_v112,4194304,Kemco,2,Mugs,64,9816876A,25B61B8D,[Table],14
92,92,Jurassic Park III - Advanced Action,Eeprom_v122,8388608,Konami,7,Eurasia,256,6D427148,D9599799,[Table],38
93,93,ESPN Final Round Golf 2002,Flash_v124,8388608,Konami,1,Mode 7,2,767CC0B7,CDD2AA0F,[Table],15
94,94,Tang Tang,Eeprom_v121,4194304,Take 2,1,Mode 7,2,8061FF91,535093C3,[Table],39
95,95,Advance Wars,Flash_v121,4194304,Nintendo,1,Mode 7,2,4EB6AC59,55F9504A,[Table],40
96,96,F-14 Tomcat,None,4194304,Majesco Sales,16,Mode 7,2,1C2312FA,61065DAA,[Table],0
97,97,Love Hina Advance - Shukufuku no Kane ha Naru Kana,Eeprom_v121,8388608,MMV,7,Eurasia,256,BA0BFEA9,E16A67A5,[Table],0
98,98,Men in Black - The Series,None,4194304,Crave Entertainment,0,Eurasia,2,5A47994A,FF357FF6,[Table],41
99,99,ESPN Final Round Golf,Flash_v124,8388608,Konami,0,Paracox,2,D095CFCF,C3433444,[Table],15
100,100,Medarot Navi - Kuwagata,Flash_v124,8388608,Imagineer,7,Eurasia,256,75B4B26B,DA914D79,[Table],0
101,101,Medarot Navi - Kabuto,Flash_v124,8388608,Imagineer,7,Eurasia,256,0B75A4F2,BE04C762,[Table],0
102,102,Atlantis - The Lost Empire,None,4194304,THQ,16,Eurasia,2,728AD23A,5BDA148F,[Table],42
103,103,Jurassic Park III - Park Builder,Sram_F_v102,4194304,Konami,0,Eurasia,4291,427685DE,813BA414,[Table],34
104,104,Tetris Worlds,None,4194304,THQ,1,Menace,2,A6F0C9CE,F2631378,[Table],43
105,105,Mario Kart - Super Circuit,Flash_v124,4194304,Nintendo,0,Cezar,2,1B0F8C1D,5DFE38BF,[Table],30
106,106,Robot Ponkottsu 2 - Ring Version,Flash_v126,8388608,Hudson,7,Eurasia,256,D94E9197,0C9FF87D,[Table],44
107,107,Robot Ponkottsu 2 - Cross Version,Flash_v126,8388608,Hudson,7,Eurasia,256,F161C729,61224A2A,[Table],45
108,108,NFL Blitz 20-02,None,4194304,Midway,1,Quartex,2,E1CF9F57,73D66128,[Table],0
109,109,Gensou Suikoden - Card Stories,None,4194304,Konami,7,Eurasia,256,5AAB5391,6C6CC677,[Table],0
110,110,ESPN X-Games Skateboarding,Eeprom_v121,8388608,Konami,1,Mode 7,2,879D7077,53ADAEB2,[Table],46
111,111,Super Robot Taisen A,Flash_v125,8388608,Banpresto,7,Eurasia,256,AADF206C,F9E8113C,[Table],47
112,112,Rocket Power - Dream Scheme,None,4194304,THQ,16,Mode 7,2,05A01F01,0EF9C07C,[Table],48
113,113,Klonoa - Empire of Dreams,Eeprom_v121,4194304,Namco,1,Mode 7,2,C491C023,04BA49B1,[Table],29
114,114,Jurassic Park III - Park Builder,Sram_F_v102,4194304,Konami,1,-Q,2,2C3C8B53,F9EA5C64,[Table],34
115,115,Spider-Man - Mysterio's Menace,None,8388608,Activision,16,Mode 7,2,0F15A88A,5EAE14BF,[Table],49
116,116,Caesars Palace Advance,None,8388608,Majesco Sales,16,Mode 7,2,3F377E0C,B4DB75A3,[Table],0
117,117,Field of Nine - Digital Edition 2001,Sram_v112,8388608,Konami,7,Eurasia,256,4B3F2156,DD95F4A9,[Table],0
118,118,BackTrack,Eeprom_v122,4194304,Telegames,16,Mode 7,2,F8319774,760B36C6,[Table],0
119,119,Morita Shougi Advance,Sram_v112,4194304,Hudson,7,Cezar,256,873DA683,DEC1269B,[Table],0
120,120,Rugrats - Castle Capers,None,4194304,THQ,16,Venom,2,9F400110,5ECCDFF1,[Table],50
121,121,Power Rangers - Time Force,None,4194304,THQ,1,Mode 7,2,C7A9029A,4EBF17F4,[Table],51
122,122,Z.O.E. 2173 - Testament,Flash_v126,8388608,Konami,7,Eurasia,256,766F1B2A,DBC5766C,[Table],52
123,123,Lady Sia,Eeprom_v122,4194304,TDK,0,Mode 7,4307,E2F44434,8330414D,[Table],53
124,124,High Heat Major League Baseball 2002,Eeprom_v122,4194304,3DO,16,Mode 7,2,D3BE815A,3AC70836,[Table],0
125,125,X-Men - Reign of Apocalypse,Eeprom_v121,8388608,Activision,16,Venom,2,B9372F71,97405784,[Table],0
126,126,Dexter's Laboratory - Deesaster Strikes!,Eeprom_v122,4194304,BAM!,1,Venom,4291,FDB06FDB,A3E02E29,[Table],54
127,127,MX 2002 featuring Ricky Carmichael,None,4194304,THQ,16,Mode 7,2,0ABC69EA,56369C61,[Table],0
128,128,Final Fight One,Eeprom_v121,4194304,Capcom,1,Mode 7,2,3614188A,4378E2B0,[Table],17
129,129,Nobunaga no Yabou,Flash_v125,4194304,Koei,7,Eurasia,256,85EA050E,C4C2EF24,[Table],0
130,130,LEGO Bionicle,Sram_v112,8388608,LEGO Media,1,Mode 7,3,16C336FC,AAD4F54D,[Table],55
131,131,LEGO Island 2 - The Brickster's Revenge,Sram_v112,8388608,LEGO Media,1,Mode 7,3,E10C71E9,EDF117B1,[Table],56
132,132,Kiki Kaikai Advance,None,4194304,Altron,7,Eurasia,256,00410383,CE2F1777,[Table],57
133,133,Snood,None,4194304,Destination Software,1,Mode 7,2,C62820FF,82C7E849,[Table],58
134,134,Sports Illustrated for Kids - Baseball,Sram_v112,4194304,BAM!,1,Venom,2,3CF508BB,65E36DC9,[Table],0
135,135,Hatena Satena,Sram_v110,4194304,Hudson,7,Eurasia,256,00756118,47CB28B5,[Table],0
136,136,"Wild Thornberrys, The - Chimp Chase",None,4194304,THQ,16,Venom,2,1098A84D,3416B8E6,[Table],179
137,137,Scooby-Doo and the Cyber Chase,None,4194304,THQ,1,Venom,2,4BE389C4,83C4BDD8,[Table],59
138,138,Sports Illustrated for Kids - Football,Sram_v112,4194304,BAM!,1,Venom,2,474A5E75,95C457ED,[Table],0
139,139,Boxing Fever,None,8388608,Majesco Sales,16,Lightforce,2,E1F6D871,A54B66AB,[Table],0
140,140,Gyakuten Saiban,Sram_v112,8388608,Capcom,7,Lightforce,256,35BDAAA0,0192ECA8,[Table],60
141,141,LEGO Island 2 - The Brickster's Revenge,Sram_v112,8388608,LEGO Media,0,Paradox,12507,41F5AB6B,ABBEB65D,[Table],56
142,142,Lady Sia,Eeprom_v122,4194304,TDK,1,Mugs,4307,E2F44434,E37AF2F2,[Table],53
143,143,Minna de Puyo Puyo,Eeprom_v122,8388608,Sega,7,Eurasia,258,2D1A9AA0,20C005CE,[Table],112
144,144,Total Soccer,Eeprom_v122,4194304,Ubi Soft,0,Quartex,4307,68A3130B,4F082EB8,[Table],61
145,145,Denki Blocks!,Eeprom_v121,4194304,Denki,0,Quartex,4291,F4B79186,D307A37D,[Table],62
146,146,Prehistorik Man,None,4194304,Titus,16,Venom,4307,1FC13775,0D4479F5,[Table],0
147,147,Hello Kitty Collection - Miracle Fashion Maker,Eeprom_v121,8388608,Imagineer,7,Lightforce,256,4DDE7098,8D56D569,[Table],0
148,148,European Super League,None,4194304,Electronic Arts,0,Fett1,4291,918C641F,BE81D32B,[Table],0
149,149,Phalanx - The Enforce Fighter A-144,Eeprom_v122,4194304,Kemco,7,Eurasia,256,271CCDDF,AFF8A5AC,[Table],63
150,150,Nakayoshi Mahjong - Kaburiichi,Sram_v112,4194304,Konami,7,NIL,256,92A7EB50,4F219034,[Table],0
151,151,Hamster Monogatari 2 GBA,Sram_v110,8388608,Culture Brain,7,NIL,256,9627A03A,7D5B6456,[Table],0
152,152,ESPN X-Games Skateboarding,Eeprom_v121,8388608,Konami,7,NIL,2,3CA5E4E5,8A7B478A,[Table],46
153,153,LEGO Bionicle,Sram_v112,8388608,LEGO Media,0,High Society,12507,16C336FC,D6D508DE,[Table],55
154,154,"Monsters, Inc.",None,4194304,THQ,16,Mode 7,2,23E4E58F,EFC0C4BC,[Table],64
155,155,Doom,Eeprom_v120,8388608,Activision,16,Mode 7,2,173E1967,37179106,[Table],0
156,156,Dokodemo Taikyoku - Yakuman Advance,Sram_F_v102,8388608,Nintendo,7,NIL,256,6E70D69B,9BBD2D3C,[Table],0
157,157,Tang Tang,Eeprom_v121,4194304,Take 2,0,Cezar,4323,8CC9E424,2968FA46,[Table],39
158,158,Lucky Luke - Wanted!,None,4194304,Infogrames,0,Lightforce,4307,B8E45F73,0F089D7F,[Table],0
159,159,Spyro - Season of Ice,Eeprom_v122,8388608,Vivendi,0,Eurasia,4291,9C797392,0D9DA3C5,[Table],65
160,160,Spyro - Season of Ice,Eeprom_v122,8388608,Vivendi,1,Lightforce,2,1AE38B62,123436DF,[Table],65
161,161,Batman Vengeance,None,8388608,Ubi Soft,1,Venom,4099,9FF0DC2D,FC2FB5B9,[Table],66
162,162,Super Street Fighter II Turbo - Revival,Eeprom_v121,8388608,Capcom,0,High Society,2,D243D51B,B7FBDEB8,[Table],27
163,163,Kao the Kangaroo,None,4194304,Titus,1,Paracox,4307,E974ED36,7AA65816,[Table],67
164,164,WWF - Road to WrestleMania,None,4194304,THQ,16,Eurasia,2,99C8F18E,889CE660,[Table],0
165,165,Megaman Battle Network,Sram_v112,8388608,Capcom,1,Venom,2,137CB51E,B009D75E,[Table],3
166,166,Gadget Racers,Sram_v112,4194304,Conspiracy,1,Eurasia,2,E6A24FB6,21F56452,[Table],24
167,167,Gradius Advance,Eeprom_v122,4194304,Konami,0,Eurasia,2,77D60E7D,220D4DF3,[Table],68
168,168,M&M's Blast!,Eeprom_v122,8388608,Majesco Sales,1,Lightforce,2,28BBBDCD,74EFCE9E,[Table],0
169,169,Wario Land 4,Sram_v112,8388608,Nintendo,16,Mode 7,2,DF64D236,8E4E1067,[Table],37
170,170,Hikaru no Go,Sram_F_v102,8388608,Konami,7,Independent,256,E9F6FC6E,390C6157,[Table],756
171,171,Golden Sun,Flash_v123,8388608,Nintendo,16,Mode 7,2,C758E6D4,24438512,[Table],32
172,172,Donald Duck Advance,None,8388608,Ubi Soft,0,Paracox,4291,A9C49D3E,967EE84F,[Table],69
173,173,Harry Potter and the Sorcerer's Stone,Eeprom_v122,8388608,Electronic Arts,16,Lightforce,64219,5E83C924,EAB9BD9A,[Table],70
174,174,Batman Vengeance,None,8388608,Ubi Soft,0,Rapid Fire,4307,9FF0DC2D,B0F2ADA1,[Table],66
175,175,Jackie Chan Adventures - Legend of the Darkhand,Eeprom_v120,4194304,Activision,16,Mode 7,2,0F597A56,E2499EAD,[Table],71
176,176,Alienators - Evolution Continues,None,4194304,Activision,16,Mode 7,2,A1339920,E6FA3EFD,[Table],0
177,177,SpongeBob SquarePants - SuperSponge,None,4194304,THQ,1,Eurasia,2,A3FD6EE3,3C9DCC34,[Table],0
178,178,Jimmy Neutron - Boy Genius,None,4194304,THQ,1,Eurasia,2,0F8BD1EA,52924A55,[Table],72
179,179,Inspector Gadget - Advance Mission,None,4194304,LSP,0,Eurasia,4307,CDBFEFCC,AB2D7CA0,[Table],73
180,180,Tweety and the Magic Gems,Sram_v112,4194304,Kemco,1,Independent,2,C8127A6D,C64650A2,[Table],14
181,181,Star Wars - Jedi Power Battles,None,8388608,THQ,1,Eurasia,2,1E9F6079,24C7760A,[Table],74
182,182,Midnight Club - Street Racing,None,4194304,Destination Software,1,Lightforce,2,84992D68,C794DFE9,[Table],75
183,183,Mat Hoffman's Pro BMX,Eeprom_v122,4194304,Activision,16,Lightforce,2,7B81F5FC,AFC86730,[Table],76
184,184,Razor Freestyle Scooter,None,4194304,Crave Entertainment,1,Lightforce,2,3FA1CEB9,A1E1F783,[Table],77
185,185,Super Bust-A-Move,None,4194304,Ubi Soft,0,Eurasia,4291,41C32132,237B8886,[Table],78
186,186,Dokapon,Sram_F_v102,8388608,Asmik,1,Menace,2,A58D6E6E,0D601977,[Table],33
187,187,International Superstar Soccer,Eeprom_v120,8388608,Konami,0,Eurasia,2,029B83D5,A2A3DE99,[Table],551
188,188,Atlantis - The Lost Empire,None,4194304,THQ,0,Lightforce,4307,B42518AB,3FDB8712,[Table],42
189,189,Yuujou no Victory Goal 4v4 Arashi - Get the Goal!!,Sram_F_v102,8388608,Konami,7,Quartex,256,AE72FB6A,764E1B03,[Table],0
190,190,Nancy Drew - Message in a Haunted Mansion,None,4194304,Dreamcatcher,1,Eurasia,2,09A02C21,382C3B62,[Table],0
191,191,"Powerpuff Girls, The - Mojo Jojo A-Go-Go",Eeprom_v122,4194304,BAM!,1,Mode 7,4307,F1A08CC5,3BF4935E,[Table],79
192,192,Madden NFL 2002,Eeprom_v122,4194304,Electronic Arts,1,Lightforce,2,1B42DCED,69AD7C36,[Table],0
193,193,Frogger's Adventures - Temple of the Frog,Eeprom_v121,4194304,Konami,1,Lightforce,4291,087252EC,38D36074,[Table],80
194,194,No Rules - Get Phat,None,8388608,TDK,16,Lightforce,4307,24EDF166,6B460E04,[Table],0
195,195,Adventure of Tokyo Disney Sea,Sram_v112,4194304,Konami,7,Eurasia,256,B635D3CF,9F2DCF1A,[Table],0
196,196,David Beckham Soccer,Eeprom_v122,4194304,Denki,0,Venom,4291,2564EEA2,38EC6C35,[Table],81
197,197,Tetris Worlds,None,4194304,THQ,0,Lightforce,83,D2F06409,5127A788,[Table],43
198,198,Rampage - Puzzle Attack,None,4194304,Midway,16,Mode 7,2,F437C89C,AF38051A,[Table],0
199,199,Midway's Greatest Arcade Hits,None,4194304,Midway,16,Mode 7,2,CADEA65F,EECAA4E4,[Table],0
200,200,Jurassic Park III - Island Attack,Eeprom_v122,8388608,Konami,1,Mode 7,2,7F98F0A9,4FCF5BE4,[Table],38
201,201,Super Dodge Ball Advance,Sram_v110,4194304,Ubi Soft,0,Cezar,2,7D5719AF,42A195C8,[Table],10
202,202,LEGO Racers 2,Eeprom_v120,8388608,LEGO Media,1,Venom,3,F99CB6B0,BD6D666D,[Table],82
203,203,ESPN Great Outdoor Games - Bass 2002,Sram_v112,8388608,Konami,1,Mode 7,2,25EDCE3A,009916D0,[Table],83
204,204,Ecks vs. Sever,None,8388608,BAM!,1,Mode 7,4291,039B0144,E6D642B8,[Table],84
205,205,Hot Wheels - Burnin' Rubber,Eeprom_v121,8388608,THQ,1,Venom,2,7115AB4C,705A82A6,[Table],85
206,206,Mech Platoon,Eeprom_v122,8388608,Kemco,0,Eurasia,4291,F7D0396A,6DECD6DB,[Table],86
207,207,Phalanx - The Enforce Fighter A-144,Eeprom_v122,4194304,Kemco,0,Eurasia,4307,6946F16D,6C7E6DB2,[Table],63
208,208,E.T. - The Extra-Terrestrial,None,4194304,NewKidCo,1,Mode 7,2,526D05FC,82AB2F91,[Table],87
209,209,Dave Mirra Freestyle BMX 2,Eeprom_v122,8388608,Acclaim,1,Venom,2,CD55CB63,477EE311,[Table],88
210,210,Shaun Palmer's Pro Snowboarder,None,8388608,Activision,16,Menace,2,733301B8,D8B8C848,[Table],89
211,211,Power Rangers - Time Force,None,4194304,THQ,2,Cezar,64,A9765B1A,7191FA59,[Table],51
212,212,Sangokushi,Flash_v126,8388608,Koei,7,Cezar,256,F798F822,66552ED8,[Table],90
213,213,Planet of the Apes,None,4194304,Ubi Soft,0,Venom,4307,96D7EE95,34893C90,[Table],91
214,214,Robot Wars - Advanced Destruction,Eeprom_v122,4194304,BBC Worldwide,0,Venom,4291,CC9C9308,684D3C5E,[Table],92
215,215,Cruis'n Velocity,None,4194304,Midway,16,Venom,2,CEFB4477,382D630E,[Table],0
216,216,Tom and Jerry - The Magic Ring,None,8388608,NewKidCo,1,Mode 7,4291,605F3BB2,7542EE47,[Table],93
217,217,Monster Rancher Advance,Sram_F_v102,8388608,Tecmo,1,Mode 7,2,56B0F2CF,ED42C29D,[Table],94
218,218,International Karate Advanced,None,4194304,Studio 3,0,Venom,2,E3C8B071,F712D52A,[Table],0
219,219,Daisenryaku,Flash_v126,8388608,Mediakite,7,Cezar,256,CA20C2B5,7E5C7C71,[Table],0
220,220,Gradius Galaxies,Eeprom_v122,4194304,Konami,1,Dumper,2,599A203A,5409B2EE,[Table],68
221,221,EZ-Talk - Shokyuu Hen 1,Sram_v110,8388608,KeyNet,7,Cezar,256,E196A993,FBC85E76,[Table],0
